
MISC - Timestep: 32768 | Elapsed time: 52.983
ACTOR - Steps per second: 624.635 | Episode length mean: 14.917 | Episode length std: 4.765 | Episode length min: 1 | Episode length max: 33 | Episode return mean: -38.033 | Episode return std: 34.646 | Episode return min: -112.000 | Episode return max: -5.000
TRAINER - Actor loss: -0.003 | Avg policy entropy: 0.159 | Entropy: 0.151 | Total loss: 218.621 | Value loss: 437.248
EVALUATOR - Steps per second: 84.283 | Episode length mean: 14.031 | Episode length std: 4.276 | Episode length min: 1 | Episode length max: 22 | Episode return mean: -53.531 | Episode return std: 38.307 | Episode return min: -98.000 | Episode return max: -12.000
MISC - Timestep: 65536 | Elapsed time: 92.855
ACTOR - Steps per second: 982.714 | Episode length mean: 15.359 | Episode length std: 4.059 | Episode length min: 4 | Episode length max: 31 | Episode return mean: -15.581 | Episode return std: 5.665 | Episode return min: -94.000 | Episode return max: -4.000
TRAINER - Actor loss: -0.001 | Avg policy entropy: 0.058 | Entropy: 0.057 | Total loss: 3.269 | Value loss: 6.539
EVALUATOR - Steps per second: 3109.960 | Episode length mean: 15.438 | Episode length std: 4.387 | Episode length min: 7 | Episode length max: 30 | Episode return mean: -15.438 | Episode return std: 4.387 | Episode return min: -30.000 | Episode return max: -7.000
MISC - Timestep: 98304 | Elapsed time: 129.462
ACTOR - Steps per second: 917.203 | Episode length mean: 15.165 | Episode length std: 4.025 | Episode length min: 5 | Episode length max: 33 | Episode return mean: -15.202 | Episode return std: 4.334 | Episode return min: -90.000 | Episode return max: -5.000
TRAINER - Actor loss: -0.001 | Avg policy entropy: 0.051 | Entropy: 0.051 | Total loss: 1.163 | Value loss: 2.327
EVALUATOR - Steps per second: 2128.344 | Episode length mean: 15.156 | Episode length std: 4.124 | Episode length min: 8 | Episode length max: 29 | Episode return mean: -15.156 | Episode return std: 4.124 | Episode return min: -29.000 | Episode return max: -8.000
MISC - Timestep: 131072 | Elapsed time: 164.453
ACTOR - Steps per second: 962.013 | Episode length mean: 14.942 | Episode length std: 4.010 | Episode length min: 4 | Episode length max: 30 | Episode return mean: -14.942 | Episode return std: 4.010 | Episode return min: -30.000 | Episode return max: -4.000
TRAINER - Actor loss: -0.001 | Avg policy entropy: 0.052 | Entropy: 0.051 | Total loss: 0.744 | Value loss: 1.490
EVALUATOR - Steps per second: 2172.735 | Episode length mean: 14.969 | Episode length std: 4.908 | Episode length min: 7 | Episode length max: 24 | Episode return mean: -14.969 | Episode return std: 4.908 | Episode return min: -24.000 | Episode return max: -7.000
MISC - Timestep: 163840 | Elapsed time: 200.504
