
MISC - Timestep: 32768 | Elapsed time: 68.161
ACTOR - Steps per second: 485.602 | Episode length mean: 14.930 | Episode length std: 4.763 | Episode length min: 1 | Episode length max: 32 | Episode return mean: -36.937 | Episode return std: 34.082 | Episode return min: -106.000 | Episode return max: -4.000
TRAINER - Actor loss: -0.003 | Entropy: 0.148 | Total loss: 203.788 | Value loss: 407.583
EVALUATOR - Steps per second: 75.110 | Episode length mean: 14.031 | Episode length std: 4.276 | Episode length min: 1 | Episode length max: 22 | Episode return mean: -53.531 | Episode return std: 38.307 | Episode return min: -98.000 | Episode return max: -12.000
MISC - Timestep: 65536 | Elapsed time: 110.948
ACTOR - Steps per second: 924.065 | Episode length mean: 15.320 | Episode length std: 4.042 | Episode length min: 4 | Episode length max: 32 | Episode return mean: -15.763 | Episode return std: 7.008 | Episode return min: -97.000 | Episode return max: -4.000
TRAINER - Actor loss: -0.001 | Entropy: 0.054 | Total loss: 5.394 | Value loss: 10.789
EVALUATOR - Steps per second: 2777.965 | Episode length mean: 15.406 | Episode length std: 4.344 | Episode length min: 8 | Episode length max: 30 | Episode return mean: -15.406 | Episode return std: 4.344 | Episode return min: -30.000 | Episode return max: -8.000
MISC - Timestep: 98304 | Elapsed time: 145.253
ACTOR - Steps per second: 981.788 | Episode length mean: 15.165 | Episode length std: 4.096 | Episode length min: 5 | Episode length max: 33 | Episode return mean: -15.202 | Episode return std: 4.466 | Episode return min: -98.000 | Episode return max: -5.000
TRAINER - Actor loss: -0.001 | Entropy: 0.049 | Total loss: 1.239 | Value loss: 2.480
EVALUATOR - Steps per second: 2143.961 | Episode length mean: 15.250 | Episode length std: 4.183 | Episode length min: 8 | Episode length max: 29 | Episode return mean: -15.250 | Episode return std: 4.183 | Episode return min: -29.000 | Episode return max: -8.000
MISC - Timestep: 131072 | Elapsed time: 182.106
ACTOR - Steps per second: 915.519 | Episode length mean: 14.993 | Episode length std: 3.959 | Episode length min: 5 | Episode length max: 31 | Episode return mean: -14.993 | Episode return std: 3.959 | Episode return min: -31.000 | Episode return max: -5.000
TRAINER - Actor loss: -0.001 | Entropy: 0.051 | Total loss: 0.802 | Value loss: 1.605
EVALUATOR - Steps per second: 1856.345 | Episode length mean: 15.188 | Episode length std: 4.984 | Episode length min: 7 | Episode length max: 23 | Episode return mean: -15.188 | Episode return std: 4.984 | Episode return min: -23.000 | Episode return max: -7.000
MISC - Timestep: 163840 | Elapsed time: 221.682
ACTOR - Steps per second: 850.924 | Episode length mean: 14.883 | Episode length std: 3.877 | Episode length min: 4 | Episode length max: 32 | Episode return mean: -14.883 | Episode return std: 3.877 | Episode return min: -32.000 | Episode return max: -4.000
TRAINER - Actor loss: -0.001 | Entropy: 0.046 | Total loss: 0.737 | Value loss: 1.476
EVALUATOR - Steps per second: 2137.399 | Episode length mean: 15.156 | Episode length std: 3.938 | Episode length min: 8 | Episode length max: 23 | Episode return mean: -15.156 | Episode return std: 3.938 | Episode return min: -23.000 | Episode return max: -8.000
MISC - Timestep: 196608 | Elapsed time: 259.794
ACTOR - Steps per second: 884.236 | Episode length mean: 14.693 | Episode length std: 3.803 | Episode length min: 5 | Episode length max: 31 | Episode return mean: -14.693 | Episode return std: 3.803 | Episode return min: -31.000 | Episode return max: -5.000
TRAINER - Actor loss: -0.001 | Entropy: 0.041 | Total loss: 0.706 | Value loss: 1.414
EVALUATOR - Steps per second: 1672.968 | Episode length mean: 14.406 | Episode length std: 3.856 | Episode length min: 7 | Episode length max: 20 | Episode return mean: -14.406 | Episode return std: 3.856 | Episode return min: -20.000 | Episode return max: -7.000
MISC - Timestep: 229376 | Elapsed time: 300.007
ACTOR - Steps per second: 837.346 | Episode length mean: 14.555 | Episode length std: 3.677 | Episode length min: 4 | Episode length max: 31 | Episode return mean: -14.555 | Episode return std: 3.677 | Episode return min: -31.000 | Episode return max: -4.000
TRAINER - Actor loss: -0.001 | Entropy: 0.037 | Total loss: 0.651 | Value loss: 1.303
EVALUATOR - Steps per second: 1802.748 | Episode length mean: 14.438 | Episode length std: 3.526 | Episode length min: 7 | Episode length max: 21 | Episode return mean: -14.438 | Episode return std: 3.526 | Episode return min: -21.000 | Episode return max: -7.000
MISC - Timestep: 262144 | Elapsed time: 337.793
ACTOR - Steps per second: 891.394 | Episode length mean: 14.435 | Episode length std: 3.748 | Episode length min: 3 | Episode length max: 29 | Episode return mean: -14.435 | Episode return std: 3.748 | Episode return min: -29.000 | Episode return max: -3.000
TRAINER - Actor loss: -0.001 | Entropy: 0.034 | Total loss: 0.656 | Value loss: 1.313
EVALUATOR - Steps per second: 1927.378 | Episode length mean: 14.844 | Episode length std: 3.456 | Episode length min: 8 | Episode length max: 23 | Episode return mean: -14.844 | Episode return std: 3.456 | Episode return min: -23.000 | Episode return max: -8.000
MISC - Timestep: 294912 | Elapsed time: 379.650
ACTOR - Steps per second: 803.599 | Episode length mean: 14.596 | Episode length std: 3.779 | Episode length min: 4 | Episode length max: 33 | Episode return mean: -14.596 | Episode return std: 3.779 | Episode return min: -33.000 | Episode return max: -4.000
TRAINER - Actor loss: -0.001 | Entropy: 0.030 | Total loss: 0.655 | Value loss: 1.311
EVALUATOR - Steps per second: 1700.214 | Episode length mean: 15.031 | Episode length std: 3.127 | Episode length min: 10 | Episode length max: 22 | Episode return mean: -15.031 | Episode return std: 3.127 | Episode return min: -22.000 | Episode return max: -10.000
MISC - Timestep: 327680 | Elapsed time: 425.509
ACTOR - Steps per second: 734.385 | Episode length mean: 14.431 | Episode length std: 3.752 | Episode length min: 3 | Episode length max: 32 | Episode return mean: -14.431 | Episode return std: 3.752 | Episode return min: -32.000 | Episode return max: -3.000
